Feature,Importance
mean_y,0.08660756805092094
mean_x,0.08196012401648028
mean_z,0.07867072122803878
energy_mag,0.05980404129695637
std_x,0.05277955215139497
std_y,0.04696770960098413
q75_mag,0.0438388502389542
mean_mag,0.04305431997404842
q25_mag,0.04262772032095679
median_mag,0.041733421039144694
std_z,0.041237348088404235
mean_diff,0.03846304416236459
iqr_mag,0.03782168367844869
std_diff,0.031796272673682076
zero_crossing_rate,0.03176392527052539
std_mag,0.030852697143834092
var_mag,0.02855982092313781
range_x,0.027225628881126868
range_y,0.02547420798828296
skew_mag,0.02345370962593574
range_z,0.022986804454776126
kurtosis_mag,0.02267125866216919
max_mag,0.02122831072305303
min_mag,0.021205704454293085
range_mag,0.017215555352086576
